Neighborhood,price_usd,province,Number_of_rooms,Square_meters
Galicia,875.0,La Coruña,3.0,120.0
Galicia,340.0,La Coruña,1.0,50.0
Galicia,700.0,La Coruña,2.0,65.0
Galicia,850.0,La Coruña,3.0,82.0
Galicia,520.0,La Coruña,1.0,60.0
Galicia,695.0,La Coruña,3.0,95.0
Galicia,500.0,La Coruña,3.0,80.0
Galicia,800.0,La Coruña,3.0,110.0
Galicia,700.0,La Coruña,3.0,100.0
Galicia,700.0,La Coruña,3.0,78.0
Galicia,630.0,La Coruña,2.0,79.0
Galicia,1050.0,La Coruña,2.0,100.0
Galicia,470.0,La Coruña,4.0,135.0
Galicia,450.0,La Coruña,4.0,95.0
Galicia,790.0,La Coruña,3.0,95.0
Galicia,750.0,La Coruña,3.0,82.0
Galicia,600.0,La Coruña,5.0,176.0
Galicia,975.0,La Coruña,2.0,79.0
Galicia,1750.0,La Coruña,5.0,300.0
Galicia,3000.0,La Coruña,6.0,120.0
Galicia,510.0,La Coruña,2.0,100.0
Galicia,850.0,La Coruña,3.0,157.0
Galicia,1000.0,La Coruña,3.0,110.0
Galicia,1400.0,La Coruña,4.0,392.0
Galicia,645.0,La Coruña,2.0,66.0
Galicia,1300.0,La Coruña,4.0,216.0
Galicia,650.0,La Coruña,2.0,88.0
Galicia,800.0,La Coruña,3.0,100.0
Galicia,750.0,La Coruña,3.0,88.0
Galicia,875.0,La Coruña,4.0,120.0
Galicia,400.0,La Coruña,2.0,66.0
Galicia,790.0,La Coruña,3.0,100.0
Galicia,950.0,La Coruña,3.0,112.0
Galicia,325.0,La Coruña,3.0,90.0
Galicia,350.0,La Coruña,2.0,62.0
Galicia,750.0,La Coruña,3.0,78.0
Galicia,800.0,La Coruña,4.0,166.0
Galicia,650.0,La Coruña,3.0,100.0
Galicia,700.0,La Coruña,2.0,87.0
Galicia,495.0,La Coruña,1.0,45.0
Galicia,675.0,La Coruña,1.0,40.0
Galicia,450.0,La Coruña,1.0,51.0
Galicia,520.0,La Coruña,1.0,55.0
Galicia,700.0,La Coruña,2.0,70.0
Galicia,1150.0,La Coruña,2.0,94.0
Galicia,500.0,La Coruña,2.0,76.0
Galicia,700.0,La Coruña,3.0,219.0
Galicia,500.0,La Coruña,2.0,54.0
Galicia,1300.0,La Coruña,3.0,142.0
Galicia,1000.0,La Coruña,2.0,76.0
Galicia,1100.0,La Coruña,1.0,70.0
Galicia,1500.0,La Coruña,2.0,109.0
Galicia,520.0,La Coruña,2.0,80.0
Galicia,600.0,La Coruña,2.0,60.0
Galicia,500.0,La Coruña,1.0,50.0
Galicia,582.0,La Coruña,3.0,85.0
Galicia,975.0,La Coruña,3.0,75.0
Galicia,500.0,La Coruña,3.0,100.0
Galicia,1300.0,La Coruña,6.0,180.0
Galicia,1500.0,La Coruña,6.0,200.0
Galicia,400.0,La Coruña,3.0,85.0
Galicia,850.0,La Coruña,3.0,110.0
Galicia,1040.0,La Coruña,4.0,110.0
Galicia,430.0,La Coruña,2.0,76.0
Galicia,480.0,La Coruña,2.0,78.0
Galicia,1500.0,La Coruña,3.0,90.0
Galicia,480.0,La Coruña,2.0,158.0
Galicia,675.0,La Coruña,2.0,85.0
Galicia,1400.0,La Coruña,5.0,318.0
Galicia,350.0,La Coruña,1.0,55.0
Galicia,900.0,La Coruña,3.0,83.0
Galicia,950.0,La Coruña,1.0,99.0
Galicia,825.0,La Coruña,3.0,97.0
Galicia,900.0,La Coruña,2.0,132.0
Galicia,900.0,La Coruña,3.0,120.0
Galicia,950.0,La Coruña,4.0,135.0
Galicia,750.0,La Coruña,2.0,92.0
Galicia,500.0,La Coruña,3.0,100.0
Galicia,480.0,La Coruña,4.0,95.0
Galicia,1200.0,La Coruña,2.0,120.0
Galicia,890.0,La Coruña,3.0,118.0
Galicia,1200.0,La Coruña,2.0,120.0
Galicia,950.0,La Coruña,3.0,111.0
Galicia,450.0,La Coruña,1.0,45.0
Galicia,750.0,La Coruña,3.0,110.0
Galicia,800.0,La Coruña,3.0,109.0
Galicia,1600.0,La Coruña,4.0,210.0
Galicia,1600.0,La Coruña,4.0,210.0
Galicia,475.0,La Coruña,1.0,40.0
Galicia,2000.0,La Coruña,3.0,156.0
Galicia,1800.0,La Coruña,4.0,200.0
Galicia,600.0,La Coruña,4.0,85.0
Galicia,645.0,La Coruña,3.0,95.0
Galicia,700.0,La Coruña,2.0,88.0
Galicia,850.0,La Coruña,2.0,144.0
Galicia,1195.0,La Coruña,4.0,145.0
Galicia,1350.0,La Coruña,4.0,130.0
Galicia,950.0,La Coruña,1.0,87.0
Galicia,900.0,La Coruña,2.0,91.0
Galicia,700.0,La Coruña,2.0,63.0
Galicia,1300.0,La Coruña,3.0,115.0
Galicia,1100.0,La Coruña,6.0,700.0
Galicia,500.0,La Coruña,3.0,86.0
Galicia,700.0,La Coruña,2.0,63.0
Galicia,1500.0,La Coruña,4.0,141.0
Galicia,800.0,La Coruña,3.0,118.0
Galicia,980.0,La Coruña,3.0,80.0
Galicia,650.0,La Coruña,1.0,40.0
Galicia,480.0,La Coruña,2.0,60.0
Galicia,675.0,La Coruña,2.0,70.0
Galicia,850.0,La Coruña,3.0,85.0
Galicia,540.0,La Coruña,4.0,140.0
Galicia,390.0,La Coruña,3.0,90.0
Galicia,575.0,La Coruña,2.0,55.0
Galicia,750.0,La Coruña,2.0,86.0
Galicia,675.0,La Coruña,4.0,105.0
Galicia,400.0,La Coruña,3.0,65.0
Galicia,450.0,La Coruña,1.0,60.0
Galicia,700.0,La Coruña,2.0,110.0
Galicia,600.0,La Coruña,2.0,63.0
Galicia,1000.0,La Coruña,3.0,100.0
Galicia,1500.0,La Coruña,4.0,225.0
Galicia,800.0,La Coruña,2.0,73.0
Galicia,825.0,La Coruña,3.0,130.0
Galicia,525.0,La Coruña,1.0,60.0
Galicia,500.0,La Coruña,3.0,88.0
Galicia,850.0,La Coruña,3.0,120.0
Galicia,1000.0,La Coruña,3.0,250.0
Galicia,1400.0,La Coruña,6.0,400.0
Galicia,790.0,La Coruña,3.0,92.0
Galicia,920.0,La Coruña,3.0,160.0
Galicia,900.0,La Coruña,2.0,120.0
Galicia,500.0,La Coruña,3.0,126.0
Galicia,480.0,La Coruña,1.0,45.0
Galicia,600.0,La Coruña,2.0,104.0
Galicia,900.0,La Coruña,3.0,91.0
Galicia,1100.0,La Coruña,3.0,130.0
Galicia,630.0,La Coruña,3.0,132.0
Galicia,680.0,La Coruña,2.0,80.0
Galicia,500.0,La Coruña,3.0,120.0
Galicia,1100.0,La Coruña,4.0,120.0
Galicia,400.0,La Coruña,3.0,92.0
Galicia,450.0,La Coruña,2.0,65.0
Galicia,550.0,La Coruña,6.0,225.0
Galicia,550.0,La Coruña,4.0,122.0
Galicia,600.0,La Coruña,3.0,130.0
Galicia,550.0,La Coruña,2.0,60.0
Galicia,1200.0,La Coruña,3.0,150.0
Galicia,1490.0,La Coruña,2.0,72.0
Galicia,530.0,La Coruña,3.0,80.0
Galicia,780.0,La Coruña,2.0,67.0
Galicia,800.0,La Coruña,4.0,110.0
Galicia,750.0,La Coruña,1.0,120.0
Galicia,600.0,La Coruña,4.0,103.0
Galicia,1400.0,La Coruña,3.0,80.0
Galicia,600.0,La Coruña,3.0,115.0
Galicia,615.0,La Coruña,2.0,70.0
Galicia,850.0,La Coruña,4.0,285.0
Galicia,650.0,La Coruña,3.0,76.0
Galicia,575.0,La Coruña,3.0,78.0
Galicia,750.0,La Coruña,2.0,81.0
Galicia,550.0,La Coruña,2.0,83.0
Galicia,600.0,La Coruña,3.0,85.0
Galicia,525.0,La Coruña,2.0,80.0
Galicia,550.0,La Coruña,3.0,97.0
Galicia,500.0,La Coruña,2.0,75.0
Galicia,700.0,La Coruña,3.0,129.0
Galicia,470.0,La Coruña,4.0,90.0
Galicia,650.0,La Coruña,3.0,105.0
Galicia,450.0,La Coruña,3.0,90.0
Galicia,550.0,La Coruña,3.0,85.0
Galicia,900.0,La Coruña,4.0,110.0
Galicia,400.0,La Coruña,3.0,75.0
Galicia,450.0,La Coruña,4.0,80.0
Galicia,650.0,La Coruña,2.0,70.0
Galicia,575.0,La Coruña,2.0,75.0
Galicia,700.0,La Coruña,2.0,80.0
Galicia,350.0,La Coruña,2.0,65.0
Galicia,1300.0,La Coruña,3.0,170.0
Galicia,600.0,La Coruña,3.0,100.0
Galicia,650.0,La Coruña,2.0,69.0
Galicia,620.0,La Coruña,3.0,74.0
Galicia,1100.0,La Coruña,3.0,100.0
Galicia,925.0,La Coruña,3.0,150.0
Galicia,1400.0,La Coruña,2.0,55.0
Galicia,1500.0,La Coruña,3.0,85.0
Galicia,450.0,La Coruña,2.0,80.0
Galicia,1800.0,La Coruña,3.0,150.0
Galicia,700.0,La Coruña,2.0,85.0
Galicia,650.0,La Coruña,3.0,155.0
Galicia,1480.0,La Coruña,5.0,250.0
Galicia,3000.0,La Coruña,4.0,182.0
Galicia,840.0,La Coruña,4.0,126.0
Galicia,900.0,La Coruña,3.0,95.0
Galicia,275.0,La Coruña,2.0,60.0
Galicia,600.0,La Coruña,3.0,160.0
Galicia,380.0,La Coruña,2.0,70.0
Galicia,450.0,La Coruña,1.0,28.0
Galicia,625.0,La Coruña,2.0,65.0
Galicia,325.0,La Coruña,2.0,90.0
Galicia,500.0,La Coruña,3.0,100.0
